TEA 1490144508 50 SELL 1.25
JOE 1490145508 150 BUY 1.35
POP 1490146508 50 SELL 1.75
TEA 1490147508 550 BUY 1.27
GIN 1490148508 5000 BUY 1.05
ALE 1490146508 50 SELL 1.25
GIN 1490147508 550 BUY 11.27
TEA 1490148508 5000 BUY 1.05
JOE 1490144508 50 SELL 1.25
TEA 1490145508 150 BUY 1.357
POP 1490146508 50 SELL 8.25
TEA 1490147508 550 BUY 1.27
GIN 1490140508 5000 BUY 1.05
JOE 1490146508 50 SELL 1.25
TEA 1490147508 550 BUY 1.27
GIN 1490148508 5000 BUY 11.05
JOE 1490144508 50 SELL 21.25
TEA 1490145508 150 BUY 1.35
ALE 1490146508 50 SELL 1.25
TEA 1490147508 550 BUY 1.273
GIN 1490147508 5000 BUY 1.05
ALE 1490146508 50 SELL 1.25
TEA 1490147508 550 BUY 5.27
GIN 1490148508 5000 BUY 1.05
